r,U
33.0,-2.2578957202138343e-12
33.1,-2.217274983048892e-12
33.2,-2.177504280562233e-12
33.3,-2.1385633443540234e-12
33.4,-2.1004324481010853e-12
33.5,-2.063092391496027e-12
33.6,-2.026524484708256e-12
33.7,-1.9907105333484605e-12
33.8,-1.9556328239187843e-12
33.9,-1.9212741097316372e-12
34.0,-1.8876175972807574e-12
34.1,-1.854646933048665e-12
34.2,-1.822346190735364e-12
34.3,-1.7906998588936211e-12
34.4,-1.7596928289567704e-12
34.5,-1.7293103836454777e-12
34.6,-1.6995381857404063e-12
34.7,-1.670362267208248e-12
34.8,-1.641769018668989e-12
34.9,-1.6137451791927874e-12
35.0,-1.5862778264152355e-12
35.1,-1.5593543669601893e-12
35.2,-1.5329625271597722e-12
35.3,-1.5070903440614981e-12
35.4,-1.48172615671287e-12
35.5,-1.4568585977141453e-12
35.6,-1.4324765850302633e-12
35.7,-1.408569314053307e-12
35.8,-1.3851262499071631e-12
35.9,-1.3621371199863233e-12
36.0,-1.3395919067210877e-12
36.1,-1.3174808405617e-12
36.2,-1.2957943931741973e-12
36.3,-1.2745232708410213e-12
36.4,-1.2536584080597076e-12
36.5,-1.233190961333163e-12
36.6,-1.213112303145304e-12
36.7,-1.1934140161160299e-12
36.8,-1.1740878873297273e-12
36.9,-1.1551259028317042e-12
37.0,-1.1365202422871317e-12
37.1,-1.1182632737972893e-12
37.2,-1.1003475488680605e-12
37.3,-1.082765797525808e-12
37.4,-1.0655109235759576e-12
37.5,-1.0485759999997252e-12
37.6,-1.0319542644846283e-12
37.7,-1.0156391150845339e-12
37.8,-9.996241060051774e-13
37.9,-9.83902943511183e-13
38.0,-9.684694819507998e-13
38.1,-9.533177198946523e-13
38.2,-9.38441796384948e-13
38.3,-9.238359872917128e-13
38.4,-9.094947017727214e-13
38.5,-8.954124788339261e-13
38.6,-8.815839839872582e-13
38.7,-8.680040060028228e-13
38.8,-8.546674537525776e-13
38.9,-8.415693531426842e-13
39.0,-8.287048441318416e-13
39.1,-8.160691778329563e-13
39.2,-8.036577136956307e-13
39.3,-7.914659167670113e-13
39.4,-7.794893550286206e-13
39.5,-7.677236968068965e-13
39.6,-7.561647082551954e-13
39.7,-7.448082509051311e-13
39.8,-7.33650279285164e-13
39.9,-7.226868386044294e-13
40.0,-7.119140624998731e-13
40.1,-7.013281708447876e-13
40.2,-6.909254676169507e-13
40.3,-6.807023388245925e-13
40.4,-6.706552504884779e-13
40.5,-6.60780746678469e-13
40.6,-6.510754476029486e-13
40.7,-6.415360477495675e-13
40.8,-6.321593140758122e-13
40.9,-6.229420842479383e-13
41.0,-6.138812649268662e-13
41.1,-6.049738300996737e-13
41.2,-5.96216819455364e-13
41.3,-5.876073368036374e-13
41.4,-5.791425485354158e-13
41.5,-5.708196821239352e-13
41.6,-5.626360246652296e-13
41.7,-5.545889214568844e-13
41.8,-5.466757746139714e-13
41.9,-5.388940417210992e-13
42.0,-5.312412345195598e-13
42.1,-5.237149176285739e-13
42.2,-5.163127072996703e-13
42.3,-5.090322702032659e-13
42.4,-5.018713222465427e-13
42.5,-4.94827627421739e-13
42.6,-4.878989966840071e-13
42.7,-4.810832868580072e-13
42.8,-4.743783995724415e-13
42.9,-4.67782280221746e-13
43.0,-4.612929169541933e-13
43.1,-4.549083396856679e-13
43.2,-4.4862661913840986e-13
43.3,-4.424458659040386e-13
43.4,-4.363642295301851e-13
43.5,-4.3037989763009384e-13
43.6,-4.2449109501455293e-13
43.7,-4.1869608284555697e-13
43.8,-4.129931578110992e-13
43.9,-4.073806513205241e-13
44.0,-4.0185692871988504e-13
44.1,-3.964203885267584e-13
44.2,-3.910694616839951e-13
44.3,-3.8580261083189904e-13
44.4,-3.8061832959833226e-13
44.5,-3.755151419062727e-13
44.6,-3.704916012983535e-13
44.7,-3.6554629027793136e-13
44.8,-3.6067781966624393e-13
44.9,-3.558848279752263e-13
45.0,-3.511659807955794e-13
45.1,-3.465199701996752e-13
45.2,-3.419455141589149e-13
45.3,-3.3744135597515717e-13
45.4,-3.3300626372584575e-13
45.5,-3.2863902972247993e-13
45.6,-3.243384699820747e-13
45.7,-3.2010342371127394e-13
45.8,-3.159327528027864e-13
45.9,-3.118253413438237e-13
46.0,-3.0778009513623064e-13
46.1,-3.03795941228002e-13
46.2,-2.9987182745589364e-13
46.3,-2.960067219988431e-13
46.4,-2.9219961294191815e-13
46.5,-2.884495078505275e-13
46.6,-2.84755433354626e-13
46.7,-2.811164347426633e-13
46.8,-2.7753157556502507e-13
